Year,SOI
1994.4583333336,-10.4
1994.5416666669,-18
1994.6250000002,-17.2
1994.7083333336,-17.2
1994.7916666669,-14.1
1994.8750000002,-7.3
1994.9583333336,-11.6
1995.0416666669,-4
1995.1250000002,-2.7
1995.2083333336,3.5
1995.2916666669,-16.2
1995.3750000002,-9
1995.4583333336,-1.5
1995.5416666669,4.2
1995.6250000002,0.8
1995.7083333336,3.2
1995.7916666669,-1.3
1995.8750000002,1.3
1995.9583333336,-5.5
1996.0416666669,8.4
1996.1250000002,1.1
1996.2083333336,6.2
1996.2916666669,7.8
1996.3750000002,1.3
1996.4583333336,13.9
1996.5416666669,6.8
1996.6250000002,4.6
1996.7083333336,6.9
1996.7916666669,4.2
1996.8750000002,-0.1
1996.9583333336,7.2
1997.0416666669,4.1
1997.1250000002,13.3
1997.2083333336,-8.5
1997.2916666669,-16.2
1997.3750000002,-22.4
1997.4583333336,-24.1
1997.5416666669,-9.5
1997.6250000002,-19.8
1997.7083333336,-14.8
1997.7916666669,-17.8
1997.8750000002,-15.2
1997.9583333336,-9.1
1998.0416666669,-23.5
1998.1250000002,-19.2
1998.2083333336,-28.5
1998.2916666669,-24.4
1998.3750000002,0.5
1998.4583333336,9.9
1998.5416666669,14.6
1998.6250000002,9.8
1998.7083333336,11.1
1998.7916666669,10.9
1998.8750000002,12.5
1998.9583333336,13.3
1999.0416666669,15.6
1999.1250000002,8.6
1999.2083333336,8.9
1999.2916666669,18.5
1999.3750000002,1.3
1999.4583333336,1
1999.5416666669,4.8
1999.6250000002,2.1
1999.7083333336,-0.4
1999.7916666669,9.1
1999.8750000002,13.1
1999.9583333336,12.8
2000.0416666669,5.1
2000.1250000002,12.9
2000.2083333336,9.4
2000.2916666669,16.8
2000.3750000002,3.6
2000.4583333336,-5.5
2000.5416666669,-3.7
2000.6250000002,5.3
2000.7083333336,9.9
2000.7916666669,9.7
2000.8750000002,22.4
2000.9583333336,7.7
2001.0416666669,8.4
2001.1250000002,11.9
2001.2083333336,6.7
2001.2916666669,0.3
2001.3750000002,-9
2001.4583333336,1.8
2001.5416666669,-3.7
2001.6250000002,-8.2
2001.7083333336,1.4
2001.7916666669,-1.9
2001.8750000002,7.2
2001.9583333336,-9.1
2002.0416666669,2.7
2002.1250000002,7.7
2002.2083333336,-5.2
2002.2916666669,-3.8
2002.3750000002,-14.5
2002.4583333336,-6.3
2002.5416666669,-7.6
2002.6250000002,-14.6
2002.7083333336,-8.2
2002.7916666669,-7.4
2002.8750000002,-6
2002.9583333336,-10.6
2003.0416666669,-2
2003.1250000002,-7.4
2003.2083333336,-6.8
2003.2916666669,-5.5
2003.3750000002,-7.4
2003.4583333336,-12
2003.5416666669,2.9
2003.6250000002,-1.8
2003.7083333336,-2.2
2003.7916666669,-1.9
2003.8750000002,-3.4
2003.9583333336,9.3
2004.0416666669,-11.6
2004.1250000002,9.1
2004.2083333336,0.2
2004.2916666669,-15.4
2004.3750000002,13.1
2004.4583333336,-15.2
2004.5416666669,-6.9
2004.6250000002,-7.6
2004.7083333336,-2.8
2004.7916666669,-3.7
2004.8750000002,-8.6
2004.9583333336,-8
2005.0416666669,1.8
2005.1250000002,-28.6
2005.2083333336,0.2
2005.2916666669,-11.2
2005.3750000002,-14.5
2005.4583333336,2.6
2005.5416666669,0.9
2005.6250000002,-6.9
2005.7083333336,3.9
2005.7916666669,10.9
2005.8750000002,-2
2005.9583333336,0.1
2006.0416666669,12.7
2006.1250000002,0.1
2006.2083333336,13.8
2006.2916666669,14.4
2006.3750000002,-9.8
2006.4583333336,-6.3
2006.5416666669,-7.6
2006.6250000002,-15.9
2006.7083333336,-5.8
2006.7916666669,-16
2006.8750000002,-1.4
2006.9583333336,-3.5
2007.0416666669,-7.8
2007.1250000002,-2.7
2007.2083333336,-1.4
2007.2916666669,-3
2007.3750000002,-2.7
2007.4583333336,5
2007.5416666669,-5
2007.6250000002,2.7
2007.7083333336,1.4
2007.7916666669,5.4
2007.8750000002,9.2
2007.9583333336,14.4
2008.0416666669,14.1
2008.1250000002,21.3
2008.2083333336,12.2
2008.2916666669,4.5
2008.3750000002,-3.5
2008.4583333336,4.2
2008.5416666669,2.2
2008.6250000002,9.1
2008.7083333336,13.5
2008.7916666669,13.4
2008.8750000003,17.1
2008.9583333336,13.3
2009.0416666669,9.4
2009.1250000003,14.8
2009.2083333336,0.2
2009.2916666669,8.6
2009.3750000003,-7.4
2009.4583333336,-2.3
2009.5416666669,1.6
2009.6250000003,-5
2009.7083333336,3.9
2009.7916666669,-14.7
2009.8750000003,-6
2009.9583333336,-7
2010.0416666669,-10.1
2010.1250000003,-14.5
2010.2083333336,-10.6
2010.2916666669,15.2
2010.3750000003,10
2010.4583333336,1.8
2010.5416666669,20.5
2010.6250000003,18.8
2010.7083333336,24.9
2010.7916666669,18.3
2010.8750000003,16.4
2010.9583333336,27.1
2011.0416666669,19.9
2011.1250000003,22.3
2011.2083333336,21.4
2011.2916666669,25.1
2011.3750000003,2.1
2011.4583333336,0.2
2011.5416666669,10.7
2011.6250000003,2.1
2011.7083333336,11.7
2011.7916666669,7.3
2011.8750000003,13.8
2011.9583333336,23
2012.0416666669,9.4
2012.1250000003,2.5
2012.2083333336,2.9
2012.2916666669,-7.1
2012.3750000003,-2.7
2012.4583333336,-10.4
2012.5416666669,-1.7
2012.6250000003,-5
2012.7083333336,2.6
2012.7916666669,2.4
2012.8750000003,3.9
2012.9583333336,-6
2013.0416666669,-1.1
2013.1250000003,-3.6
2013.2083333336,10.5
2013.2916666669,0.3
2013.3750000003,8.4
2013.4583333336,13.9
2013.5416666669,8.1
2013.6250000003,-0.5
2013.7083333336,3.9
2013.7916666669,-1.9
2013.8750000003,9.2
2013.9583333336,0.6
2014.0416666669,12.2
2014.1250000003,-1.3
2014.2083333336,-13.3
2014.2916666669,8.6
2014.3750000003,4.4
2014.4583333336,-1.5
2014.5416666669,-3
2014.6250000003,-11.4
2014.7083333336,-7.6
2014.7916666669,-8
2014.8750000003,-10
2014.9583333336,-5.5
2015.0416666669,-7.8
2015.1250000003,0.6
2015.2083333336,-11.2
2015.2916666669,-3.8
2015.3750000003,-13.7
2015.4583333336,-12
2015.5416666669,-14.7
2015.6250000003,-19.8
2015.7083333336,-17.8
2015.7916666669,-20.2
2015.8750000003,-5.3
2015.9583333336,-9.1
2016.0416666669,-19.7
2016.1250000003,-19.7
2016.2083333336,-4.7
